datetime,SHA_INFLOW_CFMonth
10/31/00,12674016000
11/30/00,11725603200
12/31/00,13633920000
1/31/01,14714784000
2/28/01,24341904000
3/31/01,28096156800
4/30/01,18441820800
5/31/01,16190496000
6/30/01,11353564800
7/31/01,10897372800
8/31/01,10498118400
9/30/01,8688124800
10/31/01,9025776000
11/30/01,16398115200
12/31/01,36757411200
1/31/02,37982649600
2/28/02,22388400000
3/31/02,25574918400
4/30/02,20391955200
5/31/02,15425510400
6/30/02,9589622400
7/31/02,9319104000
8/31/02,9195811200
9/30/02,8168169600
10/31/02,8157024000
11/30/02,10056528000
12/31/02,48212236800
1/31/03,45909244800
2/28/03,21375532800
3/31/03,29677881600
4/30/03,35400412800
5/31/03,35040470400
6/30/03,14557017600
7/31/03,10761120000
8/31/03,8877427200
9/30/03,9153993600
10/31/03,9181987200
11/30/03,11454220800
12/31/03,30333571200
1/31/04,28473033600
2/29/04,58921948800
3/31/04,34214486400
4/30/04,22468147200
5/31/04,16263763200
6/30/04,11404627200
7/31/04,10352793600
8/31/04,8669376000
9/30/04,8265974400
10/31/04,10764835200
11/30/04,9182505600
12/31/04,20913206400
1/31/05,25805260800
2/28/05,21624192000
3/31/05,34696339200
4/30/05,25808198400
5/31/05,47609251200
6/30/05,19006185600
7/31/05,11694326400
8/31/05,9704620800
9/30/05,8853753600
10/31/05,9439545600
11/30/05,12905222400
12/31/05,51970291200
1/31/06,62110368000
2/28/06,35181561600
3/31/06,60323443200
4/30/06,76294656000
5/31/06,41065142400
6/30/06,19207929600
7/31/06,12988166400
8/31/06,11116310400
9/30/06,9809510400
10/31/06,10527840000
11/30/06,13515552000
12/31/06,21172060800
1/31/07,13758940800
2/28/07,27442368000
3/31/07,22263120000
4/30/07,14796950400
5/31/07,12549513600
6/30/07,9473673600
7/31/07,9796291200
8/31/07,8671276800
9/30/07,8691580800
10/31/07,10737964800
11/30/07,9250761600
12/31/07,14238201600
1/31/08,23450256000
2/29/08,26272771200
3/31/08,23255769600
4/30/08,15192144000
5/31/08,17534620800
6/30/08,9907142400
7/31/08,8124364800
8/31/08,7678108800
9/30/08,6547824000
10/31/08,8775561600
11/30/08,10835942400
12/31/08,10308556800
1/31/09,10548489600
2/28/09,28898640000
3/31/09,45825696000
4/30/09,19900944000
5/31/09,26104032000
6/30/09,11889072000
7/31/09,9212313600
8/31/09,7893504000
9/30/09,7166620800
10/31/09,11637907200
11/30/09,9425462400
12/31/09,12615350400
1/31/10,40910745600
2/28/10,36533030400
3/31/10,27572918400
4/30/10,31597171200
5/31/10,25431321600
6/30/10,20468937600
7/31/10,10765180800
8/31/10,9355824000
9/30/10,9722764800
10/31/10,9867052800
11/30/10,11651385600
12/31/10,36267609600
1/31/11,20099059200
2/28/11,21287836800
3/31/11,64582963200
4/30/11,40659667200
5/31/11,31675017600
6/30/11,24499324800
7/31/11,12662611200
8/31/11,11521440000
9/30/11,9056188800
10/31/11,10090310400
11/30/11,10714550400
12/31/11,9479030400
1/31/12,12150691200
2/29/12,11057731200
3/31/12,35965209600
4/30/12,33401203200
5/31/12,16805664000
6/30/12,9978595200
7/31/12,8104579200
8/31/12,7652620800
9/30/12,6989587200
10/31/12,7316524800
11/30/12,17036870400
12/31/12,40299033600
1/31/13,16581974400
2/28/13,14986080000
3/31/13,18012240000
4/30/13,17588620800
5/31/13,10451376000
6/30/13,9202550400
7/31/13,7895059200
8/31/13,7610976000
9/30/13,7436188800
10/31/13,7431868800
11/30/13,7875360000
12/31/13,7744291200
1/31/14,7160140800
2/28/14,12538108800
3/31/14,24920784000
4/30/14,15660777600
5/31/14,8746012800
6/30/14,6759158400
7/31/14,6528297600
8/31/14,6464793600
9/30/14,6047136000
10/31/14,7934544000
11/30/14,8120390400
12/31/14,40562035200
1/31/15,13860374400
2/28/15,31389120000
3/31/15,11422425600
4/30/15,9600336000
5/31/15,8041593600
6/30/15,7164633600
7/31/15,6570201600
8/31/15,5975769600
9/30/15,6218899200
10/31/15,6148569600
11/30/15,6776697600
12/31/15,13439260800
1/31/16,44475436800
2/29/16,24812611200
3/31/16,71506627200
4/30/16,21187872000
5/31/16,13195180800
6/30/16,9744192000
7/31/16,7676380800
8/31/16,6992524800
9/30/16,6750518400
10/31/16,13166755200
11/30/16,17840649600
12/31/16,33648048000
1/31/17,63269424000
2/28/17,1.18357E+11
3/31/17,54316137600
4/30/17,54738288000
5/31/17,27332640000
6/30/17,15547593600
7/31/17,11460182400
8/31/17,9453110400
9/30/17,8679139200
10/31/17,9390816000
11/30/17,14925945600
12/31/17,11035440000
1/31/18,15780528000
2/28/18,10847606400
3/31/18,27658368000
4/30/18,22909132800
5/31/18,12607401600
6/30/18,10239264000
7/31/18,8510832000
8/31/18,6785683200
9/30/18,7013692800
10/31/18,7962019200
11/30/18,9691056000
12/31/18,13272940800
1/31/19,34367846400
2/28/19,50408438400
3/31/19,62042889600
4/30/19,58302374400
5/31/19,30162844800
6/30/19,17607456000
7/31/19,11148364800
8/31/19,9322300800
9/30/19,9356860800
10/31/19,10228032000
11/30/19,9122630400
12/31/19,18006364800
1/31/20,18854467200
2/29/20,13007520000
3/31/20,12420950400
4/30/20,16392499200
5/31/20,13822272000
6/30/20,9298800000
7/31/20,7619097600
8/31/20,6838387200
9/30/20,6992179200